,date,MCD stock,isPartial
26,2013-01-27,7.03,False
27,2013-01-28,33.3,False
28,2013-01-29,17.759999999999998,False
29,2013-01-30,21.09,False
30,2013-01-31,21.46,False
0,2013-02-01,34.0,False
1,2013-02-02,11.9,False
2,2013-02-03,5.78,False
3,2013-02-04,5.1000000000000005,False
4,2013-02-05,20.060000000000002,False
5,2013-02-06,5.1000000000000005,False
6,2013-02-07,25.16,False
7,2013-02-08,28.560000000000002,False
8,2013-02-09,6.12,False
9,2013-02-10,0.0,False
10,2013-02-11,27.540000000000003,False
11,2013-02-12,18.02,False
12,2013-02-13,17.34,False
13,2013-02-14,25.840000000000003,False
14,2013-02-15,15.64,False
15,2013-02-16,11.9,False
16,2013-02-17,5.78,False
17,2013-02-18,14.96,False
18,2013-02-19,17.34,False
19,2013-02-20,9.860000000000001,False
20,2013-02-21,14.96,False
21,2013-02-22,18.02,False
22,2013-02-23,11.56,False
23,2013-02-24,11.56,False
24,2013-02-25,21.42,False
25,2013-02-26,11.9,False
26,2013-02-27,17.34,False
27,2013-02-28,19.720000000000002,False
0,2013-03-01,11.84,False
1,2013-03-02,17.759999999999998,False
2,2013-03-03,8.879999999999999,False
3,2013-03-04,24.79,False
4,2013-03-05,24.79,False
5,2013-03-06,29.97,False
6,2013-03-07,35.519999999999996,False
7,2013-03-08,31.08,False
8,2013-03-09,21.83,False
9,2013-03-10,25.9,False
10,2013-03-11,12.209999999999999,False
11,2013-03-12,17.02,False
12,2013-03-13,21.83,False
13,2013-03-14,37.0,False
14,2013-03-15,35.89,False
15,2013-03-16,8.879999999999999,False
16,2013-03-17,8.51,False
17,2013-03-18,34.04,False
18,2013-03-19,14.43,False
19,2013-03-20,22.2,False
20,2013-03-21,27.38,False
21,2013-03-22,30.71,False
22,2013-03-23,14.8,False
23,2013-03-24,17.39,False
24,2013-03-25,19.61,False
25,2013-03-26,12.209999999999999,False
26,2013-03-27,25.53,False
27,2013-03-28,18.13,False
28,2013-03-29,14.06,False
29,2013-03-30,12.209999999999999,False
30,2013-03-31,9.25,False
0,2013-04-01,31.39,False
1,2013-04-02,22.36,False
2,2013-04-03,11.18,False
3,2013-04-04,29.669999999999998,False
4,2013-04-05,19.35,False
5,2013-04-06,18.06,False
6,2013-04-07,21.93,False
7,2013-04-08,36.55,False
8,2013-04-09,18.49,False
9,2013-04-10,25.8,False
10,2013-04-11,33.54,False
11,2013-04-12,27.52,False
12,2013-04-13,9.03,False
13,2013-04-14,13.33,False
14,2013-04-15,18.49,False
15,2013-04-16,40.85,False
16,2013-04-17,22.36,False
17,2013-04-18,30.099999999999998,False
18,2013-04-19,43.0,False
19,2013-04-20,9.03,False
20,2013-04-21,9.03,False
21,2013-04-22,33.54,False
22,2013-04-23,36.98,False
23,2013-04-24,26.23,False
24,2013-04-25,11.61,False
25,2013-04-26,19.78,False
26,2013-04-27,9.03,False
27,2013-04-28,0.0,False
28,2013-04-29,33.54,False
29,2013-04-30,26.23,False
0,2013-05-01,16.5,False
1,2013-05-02,24.599999999999998,False
2,2013-05-03,19.2,False
3,2013-05-04,0.0,False
4,2013-05-05,7.5,False
5,2013-05-06,18.3,False
6,2013-05-07,9.0,False
