,date,GILD stock,isPartial
27,2013-06-28,8.76,False
28,2013-06-29,0.0,False
29,2013-06-30,3.36,False
0,2013-07-01,2.6,False
1,2013-07-02,5.2,False
2,2013-07-03,4.42,False
3,2013-07-04,2.73,False
4,2013-07-05,3.77,False
5,2013-07-06,6.63,False
6,2013-07-07,3.25,False
7,2013-07-08,2.6,False
8,2013-07-09,7.930000000000001,False
9,2013-07-10,5.33,False
10,2013-07-11,5.33,False
11,2013-07-12,4.16,False
12,2013-07-13,0.0,False
13,2013-07-14,3.25,False
14,2013-07-15,3.9000000000000004,False
15,2013-07-16,4.42,False
16,2013-07-17,4.03,False
17,2013-07-18,4.55,False
18,2013-07-19,9.23,False
19,2013-07-20,3.25,False
20,2013-07-21,0.0,False
21,2013-07-22,3.5100000000000002,False
22,2013-07-23,4.29,False
23,2013-07-24,7.930000000000001,False
24,2013-07-25,5.33,False
25,2013-07-26,13.0,False
26,2013-07-27,3.25,False
27,2013-07-28,3.12,False
28,2013-07-29,6.5,False
29,2013-07-30,7.800000000000001,False
30,2013-07-31,7.0200000000000005,False
0,2013-08-01,3.4000000000000004,False
1,2013-08-02,4.0,False
2,2013-08-03,0.0,False
3,2013-08-04,3.1,False
4,2013-08-05,2.5,False
5,2013-08-06,5.9,False
6,2013-08-07,3.4000000000000004,False
7,2013-08-08,5.2,False
8,2013-08-09,4.0,False
9,2013-08-10,5.1000000000000005,False
10,2013-08-11,3.0,False
11,2013-08-12,4.1000000000000005,False
12,2013-08-13,5.800000000000001,False
13,2013-08-14,7.6000000000000005,False
14,2013-08-15,5.300000000000001,False
15,2013-08-16,4.0,False
16,2013-08-17,3.0,False
17,2013-08-18,0.0,False
18,2013-08-19,10.0,False
19,2013-08-20,4.1000000000000005,False
20,2013-08-21,6.2,False
21,2013-08-22,3.7,False
22,2013-08-23,2.6,False
23,2013-08-24,3.0,False
24,2013-08-25,2.9000000000000004,False
25,2013-08-26,4.800000000000001,False
26,2013-08-27,0.0,False
27,2013-08-28,6.0,False
28,2013-08-29,5.7,False
29,2013-08-30,5.0,False
30,2013-08-31,5.9,False
0,2013-09-01,0.0,False
1,2013-09-02,0.0,False
2,2013-09-03,4.3,False
3,2013-09-04,2.9000000000000004,False
4,2013-09-05,2.9000000000000004,False
5,2013-09-06,6.1000000000000005,False
6,2013-09-07,3.5,False
7,2013-09-08,0.0,False
8,2013-09-09,5.7,False
9,2013-09-10,2.8000000000000003,False
10,2013-09-11,4.3,False
11,2013-09-12,5.7,False
12,2013-09-13,5.9,False
13,2013-09-14,3.4000000000000004,False
14,2013-09-15,0.0,False
15,2013-09-16,5.6000000000000005,False
16,2013-09-17,4.2,False
17,2013-09-18,10.0,False
18,2013-09-19,7.2,False
19,2013-09-20,4.5,False
20,2013-09-21,0.0,False
21,2013-09-22,3.4000000000000004,False
22,2013-09-23,2.9000000000000004,False
23,2013-09-24,4.2,False
24,2013-09-25,2.9000000000000004,False
25,2013-09-26,5.800000000000001,False
26,2013-09-27,4.5,False
27,2013-09-28,3.4000000000000004,False
28,2013-09-29,0.0,False
29,2013-09-30,4.2,False
0,2013-10-01,7.65,False
1,2013-10-02,9.350000000000001,False
2,2013-10-03,9.520000000000001,False
3,2013-10-04,3.2300000000000004,False
4,2013-10-05,0.0,False
5,2013-10-06,0.0,False
6,2013-10-07,6.12,False
7,2013-10-08,3.06,False
8,2013-10-09,0.0,False
9,2013-10-10,9.520000000000001,False
10,2013-10-11,11.56,False
11,2013-10-12,0.0,False
12,2013-10-13,0.0,False
13,2013-10-14,4.760000000000001,False
14,2013-10-15,3.2300000000000004,False
15,2013-10-16,9.520000000000001,False
16,2013-10-17,9.520000000000001,False
17,2013-10-18,9.860000000000001,False
18,2013-10-19,0.0,False
19,2013-10-20,3.5700000000000003,False
20,2013-10-21,6.12,False
21,2013-10-22,9.180000000000001,False
22,2013-10-23,6.12,False
23,2013-10-24,10.88,False
24,2013-10-25,14.620000000000001,False
25,2013-10-26,3.74,False
26,2013-10-27,3.5700000000000003,False
27,2013-10-28,5.95,False
28,2013-10-29,9.180000000000001,False
29,2013-10-30,17.0,False
30,2013-10-31,12.750000000000002,False
0,2013-11-01,7.99,False
1,2013-11-02,4.42,False
2,2013-11-03,0.0,False
3,2013-11-04,14.790000000000001,False
4,2013-11-05,7.3100000000000005,False
5,2013-11-06,12.750000000000002,False
6,2013-11-07,7.48,False
7,2013-11-08,5.78,False
8,2013-11-09,6.630000000000001,False
9,2013-11-10,8.5,False
10,2013-11-11,7.3100000000000005,False
11,2013-11-12,7.3100000000000005,False
12,2013-11-13,7.3100000000000005,False
13,2013-11-14,9.180000000000001,False
14,2013-11-15,7.65,False
15,2013-11-16,4.25,False
16,2013-11-17,17.0,False
17,2013-11-18,10.88,False
18,2013-11-19,7.140000000000001,False
19,2013-11-20,5.44,False
20,2013-11-21,9.180000000000001,False
21,2013-11-22,3.74,False
22,2013-11-23,8.5,False
23,2013-11-24,8.33,False
24,2013-11-25,7.140000000000001,False
25,2013-11-26,10.540000000000001,False
26,2013-11-27,7.140000000000001,False
27,2013-11-28,0.0,False
28,2013-11-29,5.78,False
29,2013-11-30,6.460000000000001,False
0,2013-12-01,0.0,False
1,2013-12-02,10.08,False
2,2013-12-03,13.44,False
3,2013-12-04,5.04,False
4,2013-12-05,15.6,False
5,2013-12-06,12.719999999999999,False
6,2013-12-07,10.32,False
7,2013-12-08,6.24,False
8,2013-12-09,17.04,False
9,2013-12-10,20.64,False
10,2013-12-11,19.2,False
11,2013-12-12,17.759999999999998,False
12,2013-12-13,7.4399999999999995,False
13,2013-12-14,6.24,False
14,2013-12-15,6.24,False
15,2013-12-16,8.879999999999999,False
16,2013-12-17,19.68,False
17,2013-12-18,3.5999999999999996,False
18,2013-12-19,9.12,False
19,2013-12-20,15.36,False
20,2013-12-21,4.32,False
21,2013-12-22,6.4799999999999995,False
22,2013-12-23,3.84,False
23,2013-12-24,8.4,False
24,2013-12-25,4.8,False
25,2013-12-26,24.0,False
26,2013-12-27,5.76,False
27,2013-12-28,4.32,False
28,2013-12-29,4.08,False
29,2013-12-30,11.28,False
30,2013-12-31,6.4799999999999995,False
0,2014-01-01,5.04,False
1,2014-01-02,6.93,False
2,2014-01-03,8.19,False
3,2014-01-04,2.94,False
4,2014-01-05,0.0,False
5,2014-01-06,7.9799999999999995,False
6,2014-01-07,6.51,False
7,2014-01-08,2.52,False
8,2014-01-09,2.52,False
9,2014-01-10,3.9899999999999998,False
10,2014-01-11,9.03,False
11,2014-01-12,2.94,False
12,2014-01-13,2.52,False
13,2014-01-14,3.78,False
14,2014-01-15,12.809999999999999,False
15,2014-01-16,14.28,False
16,2014-01-17,10.709999999999999,False
17,2014-01-18,2.94,False
18,2014-01-19,4.41,False
19,2014-01-20,5.04,False
20,2014-01-21,10.08,False
21,2014-01-22,7.56,False
22,2014-01-23,15.33,False
23,2014-01-24,15.75,False
24,2014-01-25,2.94,False
25,2014-01-26,5.88,False
26,2014-01-27,8.82,False
27,2014-01-28,8.61,False
28,2014-01-29,10.08,False
29,2014-01-30,21.0,False
30,2014-01-31,7.9799999999999995,False
0,2014-02-01,9.0,False
1,2014-02-02,5.1,False
2,2014-02-03,12.0,False
3,2014-02-04,30.0,False
4,2014-02-05,27.0,False
5,2014-02-06,17.7,False
6,2014-02-07,21.0,False
7,2014-02-08,5.7,False
8,2014-02-09,3.9,False
9,2014-02-10,11.7,False
10,2014-02-11,14.7,False
11,2014-02-12,18.3,False
12,2014-02-13,15.0,False
13,2014-02-14,21.599999999999998,False
14,2014-02-15,9.6,False
15,2014-02-16,3.5999999999999996,False
16,2014-02-17,3.3,False
17,2014-02-18,13.799999999999999,False
18,2014-02-19,10.799999999999999,False
19,2014-02-20,10.799999999999999,False
20,2014-02-21,9.0,False
21,2014-02-22,7.5,False
22,2014-02-23,6.3,False
23,2014-02-24,14.7,False
24,2014-02-25,12.9,False
25,2014-02-26,17.099999999999998,False
26,2014-02-27,8.7,False
27,2014-02-28,13.5,False
0,2014-03-01,10.799999999999999,False
1,2014-03-02,0.0,False
2,2014-03-03,19.439999999999998,False
3,2014-03-04,21.24,False
4,2014-03-05,21.24,False
5,2014-03-06,27.0,False
6,2014-03-07,23.759999999999998,False
7,2014-03-08,9.0,False
8,2014-03-09,5.3999999999999995,False
9,2014-03-10,22.32,False
10,2014-03-11,22.32,False
11,2014-03-12,25.2,False
12,2014-03-13,18.0,False
13,2014-03-14,33.12,False
14,2014-03-15,5.3999999999999995,False
15,2014-03-16,10.44,False
16,2014-03-17,20.88,False
17,2014-03-18,17.64,False
18,2014-03-19,25.2,False
19,2014-03-20,22.68,False
20,2014-03-21,36.0,False
21,2014-03-22,10.44,False
22,2014-03-23,5.04,False
23,2014-03-24,26.64,False
24,2014-03-25,32.04,False
25,2014-03-26,25.2,False
26,2014-03-27,13.68,False
27,2014-03-28,20.16,False
28,2014-03-29,8.64,False
29,2014-03-30,5.3999999999999995,False
30,2014-03-31,23.759999999999998,False
0,2014-04-01,27.3,False
1,2014-04-02,20.16,False
2,2014-04-03,18.48,False
3,2014-04-04,15.12,False
4,2014-04-05,4.2,False
5,2014-04-06,4.2,False
6,2014-04-07,10.92,False
7,2014-04-08,14.28,False
8,2014-04-09,20.16,False
9,2014-04-10,27.72,False
10,2014-04-11,33.18,False
11,2014-04-12,10.92,False
12,2014-04-13,0.0,False
13,2014-04-14,27.72,False
14,2014-04-15,33.18,False
15,2014-04-16,26.459999999999997,False
16,2014-04-17,19.74,False
17,2014-04-18,16.8,False
18,2014-04-19,4.62,False
19,2014-04-20,9.24,False
20,2014-04-21,21.84,False
21,2014-04-22,42.0,False
22,2014-04-23,34.86,False
23,2014-04-24,31.5,False
24,2014-04-25,27.3,False
25,2014-04-26,6.72,False
26,2014-04-27,0.0,False
27,2014-04-28,18.06,False
28,2014-04-29,27.3,False
29,2014-04-30,22.259999999999998,False
0,2014-05-01,28.900000000000002,False
1,2014-05-02,34.0,False
2,2014-05-03,14.620000000000001,False
3,2014-05-04,0.0,False
4,2014-05-05,24.48,False
5,2014-05-06,20.740000000000002,False
6,2014-05-07,19.040000000000003,False
7,2014-05-08,21.080000000000002,False
8,2014-05-09,16.32,False
9,2014-05-10,10.200000000000001,False
10,2014-05-11,4.08,False
11,2014-05-12,25.500000000000004,False
12,2014-05-13,25.840000000000003,False
13,2014-05-14,20.740000000000002,False
14,2014-05-15,19.380000000000003,False
15,2014-05-16,16.32,False
16,2014-05-17,8.5,False
17,2014-05-18,12.58,False
18,2014-05-19,15.64,False
19,2014-05-20,19.040000000000003,False
20,2014-05-21,19.040000000000003,False
21,2014-05-22,19.380000000000003,False
22,2014-05-23,20.060000000000002,False
23,2014-05-24,7.140000000000001,False
24,2014-05-25,0.0,False
25,2014-05-26,5.78,False
26,2014-05-27,29.92,False
27,2014-05-28,19.040000000000003,False
28,2014-05-29,11.9,False
