,date,MAT stock,isPartial
5,2013-05-06,15.96,False
6,2013-05-07,0.0,False
7,2013-05-08,0.0,False
8,2013-05-09,8.17,False
9,2013-05-10,0.0,False
10,2013-05-11,0.0,False
11,2013-05-12,19.0,False
12,2013-05-13,15.39,False
13,2013-05-14,7.79,False
14,2013-05-15,7.79,False
15,2013-05-16,7.98,False
16,2013-05-17,0.0,False
17,2013-05-18,0.0,False
18,2013-05-19,9.5,False
19,2013-05-20,7.98,False
20,2013-05-21,15.2,False
21,2013-05-22,7.79,False
22,2013-05-23,7.98,False
23,2013-05-24,0.0,False
24,2013-05-25,9.5,False
25,2013-05-26,0.0,False
26,2013-05-27,0.0,False
27,2013-05-28,7.6,False
28,2013-05-29,0.0,False
29,2013-05-30,0.0,False
30,2013-05-31,0.0,False
0,2013-06-01,9.200000000000001,False
1,2013-06-02,0.0,False
2,2013-06-03,14.950000000000001,False
3,2013-06-04,10.120000000000001,False
4,2013-06-05,0.0,False
5,2013-06-06,23.0,False
6,2013-06-07,8.05,False
7,2013-06-08,0.0,False
8,2013-06-09,0.0,False
9,2013-06-10,12.42,False
10,2013-06-11,7.36,False
11,2013-06-12,0.0,False
12,2013-06-13,7.82,False
13,2013-06-14,8.05,False
14,2013-06-15,9.43,False
15,2013-06-16,9.200000000000001,False
16,2013-06-17,7.590000000000001,False
17,2013-06-18,0.0,False
18,2013-06-19,14.950000000000001,False
19,2013-06-20,11.73,False
20,2013-06-21,8.05,False
21,2013-06-22,9.43,False
22,2013-06-23,9.43,False
23,2013-06-24,7.590000000000001,False
24,2013-06-25,12.65,False
25,2013-06-26,10.35,False
26,2013-06-27,7.82,False
27,2013-06-28,0.0,False
28,2013-06-29,9.66,False
29,2013-06-30,18.630000000000003,False
0,2013-07-01,11.610000000000001,False
1,2013-07-02,0.0,False
2,2013-07-03,11.610000000000001,False
3,2013-07-04,12.420000000000002,False
4,2013-07-05,25.380000000000003,False
5,2013-07-06,0.0,False
6,2013-07-07,0.0,False
7,2013-07-08,11.88,False
8,2013-07-09,11.610000000000001,False
9,2013-07-10,0.0,False
10,2013-07-11,11.88,False
11,2013-07-12,12.420000000000002,False
12,2013-07-13,14.580000000000002,False
13,2013-07-14,14.31,False
14,2013-07-15,11.88,False
15,2013-07-16,0.0,False
16,2013-07-17,17.82,False
17,2013-07-18,11.88,False
18,2013-07-19,12.420000000000002,False
19,2013-07-20,14.580000000000002,False
20,2013-07-21,14.580000000000002,False
21,2013-07-22,11.610000000000001,False
22,2013-07-23,22.950000000000003,False
23,2013-07-24,23.490000000000002,False
24,2013-07-25,11.88,False
25,2013-07-26,18.630000000000003,False
26,2013-07-27,0.0,False
27,2013-07-28,21.330000000000002,False
28,2013-07-29,27.0,False
