,date,MSFT stock,isPartial
18,2013-06-19,8.84,False
19,2013-06-20,10.88,False
20,2013-06-21,7.65,False
21,2013-06-22,6.630000000000001,False
22,2013-06-23,2.5500000000000003,False
23,2013-06-24,7.140000000000001,False
24,2013-06-25,8.16,False
25,2013-06-26,9.01,False
26,2013-06-27,8.67,False
27,2013-06-28,7.65,False
28,2013-06-29,3.5700000000000003,False
29,2013-06-30,2.04,False
0,2013-07-01,6.38,False
1,2013-07-02,4.18,False
2,2013-07-03,2.42,False
3,2013-07-04,3.3,False
4,2013-07-05,4.4,False
5,2013-07-06,1.98,False
6,2013-07-07,3.08,False
7,2013-07-08,3.08,False
8,2013-07-09,4.84,False
9,2013-07-10,3.96,False
10,2013-07-11,11.44,False
11,2013-07-12,6.16,False
12,2013-07-13,2.2,False
13,2013-07-14,1.76,False
14,2013-07-15,5.28,False
15,2013-07-16,6.6,False
16,2013-07-17,3.74,False
17,2013-07-18,8.8,False
18,2013-07-19,22.0,False
19,2013-07-20,6.82,False
20,2013-07-21,5.28,False
21,2013-07-22,10.78,False
22,2013-07-23,9.68,False
23,2013-07-24,9.02,False
24,2013-07-25,5.28,False
25,2013-07-26,5.06,False
26,2013-07-27,3.74,False
27,2013-07-28,3.74,False
28,2013-07-29,2.42,False
29,2013-07-30,5.06,False
30,2013-07-31,5.28,False
0,2013-08-01,5.25,False
1,2013-08-02,5.25,False
2,2013-08-03,1.68,False
3,2013-08-04,1.05,False
4,2013-08-05,4.41,False
5,2013-08-06,5.25,False
6,2013-08-07,3.36,False
7,2013-08-08,6.09,False
8,2013-08-09,6.09,False
9,2013-08-10,1.26,False
10,2013-08-11,0.84,False
11,2013-08-12,2.52,False
12,2013-08-13,4.62,False
13,2013-08-14,4.41,False
14,2013-08-15,3.78,False
15,2013-08-16,4.62,False
16,2013-08-17,1.68,False
17,2013-08-18,1.26,False
18,2013-08-19,2.31,False
19,2013-08-20,3.15,False
20,2013-08-21,4.62,False
21,2013-08-22,5.25,False
22,2013-08-23,21.0,False
23,2013-08-24,9.03,False
24,2013-08-25,3.78,False
25,2013-08-26,8.82,False
26,2013-08-27,3.9899999999999998,False
27,2013-08-28,6.51,False
28,2013-08-29,3.78,False
29,2013-08-30,2.94,False
30,2013-08-31,2.94,False
0,2013-09-01,1.05,False
1,2013-09-02,0.84,False
2,2013-09-03,21.0,False
3,2013-09-04,8.61,False
4,2013-09-05,5.67,False
5,2013-09-06,3.36,False
6,2013-09-07,1.89,False
7,2013-09-08,2.1,False
8,2013-09-09,5.67,False
9,2013-09-10,5.46,False
10,2013-09-11,3.57,False
11,2013-09-12,7.35,False
12,2013-09-13,5.25,False
13,2013-09-14,1.47,False
14,2013-09-15,3.57,False
15,2013-09-16,4.2,False
16,2013-09-17,6.93,False
17,2013-09-18,7.14,False
18,2013-09-19,6.09,False
19,2013-09-20,5.88,False
20,2013-09-21,4.41,False
21,2013-09-22,1.89,False
22,2013-09-23,3.9899999999999998,False
23,2013-09-24,7.14,False
24,2013-09-25,4.83,False
25,2013-09-26,5.04,False
26,2013-09-27,3.36,False
27,2013-09-28,1.47,False
28,2013-09-29,2.52,False
29,2013-09-30,6.51,False
0,2013-10-01,6.800000000000001,False
1,2013-10-02,7.4,False
2,2013-10-03,7.6000000000000005,False
3,2013-10-04,7.6000000000000005,False
4,2013-10-05,5.4,False
5,2013-10-06,1.4000000000000001,False
6,2013-10-07,7.2,False
7,2013-10-08,8.6,False
8,2013-10-09,7.2,False
9,2013-10-10,6.4,False
10,2013-10-11,7.800000000000001,False
11,2013-10-12,3.2,False
12,2013-10-13,2.2,False
13,2013-10-14,3.6,False
14,2013-10-15,7.800000000000001,False
15,2013-10-16,6.800000000000001,False
16,2013-10-17,8.200000000000001,False
17,2013-10-18,12.0,False
18,2013-10-19,4.800000000000001,False
19,2013-10-20,1.8,False
20,2013-10-21,7.0,False
21,2013-10-22,8.8,False
22,2013-10-23,9.600000000000001,False
23,2013-10-24,10.200000000000001,False
24,2013-10-25,20.0,False
25,2013-10-26,5.2,False
26,2013-10-27,3.0,False
27,2013-10-28,8.6,False
28,2013-10-29,7.6000000000000005,False
29,2013-10-30,7.2,False
30,2013-10-31,7.0,False
0,2013-11-01,9.31,False
1,2013-11-02,5.13,False
2,2013-11-03,6.84,False
3,2013-11-04,7.41,False
4,2013-11-05,11.02,False
5,2013-11-06,16.34,False
6,2013-11-07,14.44,False
7,2013-11-08,10.45,False
8,2013-11-09,6.84,False
9,2013-11-10,3.04,False
10,2013-11-11,9.88,False
11,2013-11-12,10.45,False
12,2013-11-13,8.93,False
13,2013-11-14,16.53,False
14,2013-11-15,19.0,False
15,2013-11-16,8.17,False
16,2013-11-17,3.04,False
17,2013-11-18,14.06,False
18,2013-11-19,8.74,False
19,2013-11-20,14.44,False
20,2013-11-21,11.59,False
21,2013-11-22,14.63,False
22,2013-11-23,10.45,False
23,2013-11-24,2.47,False
24,2013-11-25,6.65,False
25,2013-11-26,12.35,False
26,2013-11-27,8.36,False
27,2013-11-28,6.08,False
28,2013-11-29,8.36,False
29,2013-11-30,5.51,False
0,2013-12-01,5.44,False
1,2013-12-02,11.52,False
2,2013-12-03,16.0,False
3,2013-12-04,12.16,False
4,2013-12-05,14.56,False
5,2013-12-06,12.96,False
6,2013-12-07,4.16,False
7,2013-12-08,2.4,False
8,2013-12-09,12.64,False
9,2013-12-10,11.36,False
10,2013-12-11,12.48,False
11,2013-12-12,9.92,False
12,2013-12-13,11.68,False
13,2013-12-14,7.5200000000000005,False
14,2013-12-15,7.36,False
15,2013-12-16,14.72,False
16,2013-12-17,8.16,False
17,2013-12-18,15.040000000000001,False
18,2013-12-19,11.68,False
19,2013-12-20,12.8,False
20,2013-12-21,4.32,False
21,2013-12-22,3.84,False
22,2013-12-23,10.88,False
23,2013-12-24,5.92,False
24,2013-12-25,8.96,False
25,2013-12-26,9.6,False
26,2013-12-27,11.36,False
27,2013-12-28,5.44,False
28,2013-12-29,3.68,False
29,2013-12-30,8.64,False
30,2013-12-31,8.64,False
0,2014-01-01,2.72,False
1,2014-01-02,7.3100000000000005,False
2,2014-01-03,6.630000000000001,False
3,2014-01-04,1.1900000000000002,False
4,2014-01-05,1.87,False
5,2014-01-06,6.970000000000001,False
6,2014-01-07,9.180000000000001,False
7,2014-01-08,6.460000000000001,False
8,2014-01-09,10.200000000000001,False
9,2014-01-10,7.3100000000000005,False
10,2014-01-11,3.4000000000000004,False
11,2014-01-12,1.53,False
12,2014-01-13,6.12,False
13,2014-01-14,7.99,False
14,2014-01-15,10.71,False
15,2014-01-16,6.970000000000001,False
16,2014-01-17,8.84,False
17,2014-01-18,2.3800000000000003,False
18,2014-01-19,2.21,False
19,2014-01-20,2.89,False
20,2014-01-21,4.930000000000001,False
21,2014-01-22,3.74,False
22,2014-01-23,11.9,False
23,2014-01-24,17.0,False
24,2014-01-25,5.78,False
25,2014-01-26,2.72,False
26,2014-01-27,4.590000000000001,False
27,2014-01-28,8.33,False
28,2014-01-29,8.33,False
29,2014-01-30,9.350000000000001,False
30,2014-01-31,12.07,False
0,2014-02-01,3.6,False
1,2014-02-02,2.6,False
2,2014-02-03,8.0,False
3,2014-02-04,20.0,False
4,2014-02-05,9.8,False
5,2014-02-06,8.4,False
6,2014-02-07,6.6000000000000005,False
7,2014-02-08,4.2,False
8,2014-02-09,2.6,False
9,2014-02-10,7.2,False
10,2014-02-11,7.6000000000000005,False
11,2014-02-12,8.6,False
12,2014-02-13,6.4,False
13,2014-02-14,8.200000000000001,False
14,2014-02-15,3.8000000000000003,False
15,2014-02-16,2.2,False
16,2014-02-17,5.0,False
17,2014-02-18,7.0,False
18,2014-02-19,7.4,False
19,2014-02-20,6.4,False
20,2014-02-21,7.2,False
21,2014-02-22,3.2,False
22,2014-02-23,1.8,False
23,2014-02-24,7.0,False
24,2014-02-25,7.0,False
25,2014-02-26,6.4,False
26,2014-02-27,7.4,False
27,2014-02-28,7.6000000000000005,False
0,2014-03-01,5.6000000000000005,False
1,2014-03-02,8.32,False
2,2014-03-03,12.48,False
3,2014-03-04,9.76,False
4,2014-03-05,12.64,False
