,date,DIS stock,isPartial
9,2013-05-10,15.0,False
10,2013-05-11,0.0,False
11,2013-05-12,4.800000000000001,False
12,2013-05-13,0.0,False
13,2013-05-14,13.600000000000001,False
14,2013-05-15,9.8,False
15,2013-05-16,8.0,False
16,2013-05-17,10.600000000000001,False
17,2013-05-18,0.0,False
18,2013-05-19,2.4000000000000004,False
19,2013-05-20,6.0,False
20,2013-05-21,9.8,False
21,2013-05-22,7.800000000000001,False
22,2013-05-23,2.0,False
23,2013-05-24,2.0,False
24,2013-05-25,4.800000000000001,False
25,2013-05-26,4.800000000000001,False
26,2013-05-27,2.0,False
27,2013-05-28,13.4,False
28,2013-05-29,7.800000000000001,False
29,2013-05-30,6.0,False
30,2013-05-31,2.0,False
0,2013-06-01,2.88,False
1,2013-06-02,2.88,False
2,2013-06-03,5.88,False
3,2013-06-04,8.4,False
4,2013-06-05,2.4,False
5,2013-06-06,7.199999999999999,False
6,2013-06-07,2.52,False
7,2013-06-08,5.88,False
8,2013-06-09,2.88,False
9,2013-06-10,10.559999999999999,False
10,2013-06-11,3.48,False
11,2013-06-12,8.4,False
12,2013-06-13,6.0,False
13,2013-06-14,5.04,False
14,2013-06-15,5.88,False
15,2013-06-16,2.88,False
16,2013-06-17,3.5999999999999996,False
17,2013-06-18,12.0,False
18,2013-06-19,6.0,False
19,2013-06-20,8.52,False
20,2013-06-21,7.68,False
21,2013-06-22,4.4399999999999995,False
22,2013-06-23,0.0,False
23,2013-06-24,12.0,False
24,2013-06-25,7.199999999999999,False
25,2013-06-26,4.8,False
26,2013-06-27,4.8,False
27,2013-06-28,5.16,False
28,2013-06-29,4.56,False
29,2013-06-30,8.879999999999999,False
0,2013-07-01,2.08,False
1,2013-07-02,8.58,False
2,2013-07-03,8.71,False
3,2013-07-04,4.55,False
4,2013-07-05,7.0200000000000005,False
5,2013-07-06,5.46,False
6,2013-07-07,0.0,False
7,2013-07-08,4.29,False
8,2013-07-09,6.5,False
9,2013-07-10,4.42,False
10,2013-07-11,2.21,False
11,2013-07-12,2.34,False
12,2013-07-13,5.33,False
13,2013-07-14,0.0,False
14,2013-07-15,4.29,False
15,2013-07-16,6.5,False
16,2013-07-17,8.84,False
17,2013-07-18,4.42,False
18,2013-07-19,11.440000000000001,False
19,2013-07-20,0.0,False
20,2013-07-21,0.0,False
21,2013-07-22,10.790000000000001,False
