,date,GS stock,isPartial
6,2013-03-07,10.92,False
7,2013-03-08,13.44,False
8,2013-03-09,10.08,False
9,2013-03-10,0.0,False
10,2013-03-11,10.709999999999999,False
11,2013-03-12,6.3,False
12,2013-03-13,21.0,False
13,2013-03-14,8.61,False
14,2013-03-15,17.64,False
15,2013-03-16,0.0,False
16,2013-03-17,9.87,False
17,2013-03-18,12.809999999999999,False
18,2013-03-19,10.5,False
19,2013-03-20,6.51,False
20,2013-03-21,13.02,False
21,2013-03-22,4.41,False
22,2013-03-23,7.56,False
23,2013-03-24,5.04,False
24,2013-03-25,4.2,False
25,2013-03-26,10.709999999999999,False
26,2013-03-27,8.82,False
27,2013-03-28,4.62,False
28,2013-03-29,0.0,False
29,2013-03-30,10.5,False
30,2013-03-31,5.46,False
0,2013-04-01,6.800000000000001,False
1,2013-04-02,5.61,False
2,2013-04-03,12.920000000000002,False
3,2013-04-04,12.750000000000002,False
4,2013-04-05,8.84,False
5,2013-04-06,5.1000000000000005,False
6,2013-04-07,4.930000000000001,False
7,2013-04-08,12.58,False
8,2013-04-09,6.970000000000001,False
9,2013-04-10,8.5,False
10,2013-04-11,14.96,False
11,2013-04-12,11.22,False
12,2013-04-13,5.2700000000000005,False
13,2013-04-14,11.9,False
14,2013-04-15,6.29,False
15,2013-04-16,17.0,False
16,2013-04-17,5.61,False
17,2013-04-18,7.140000000000001,False
18,2013-04-19,6.800000000000001,False
19,2013-04-20,10.370000000000001,False
20,2013-04-21,7.65,False
21,2013-04-22,5.61,False
22,2013-04-23,14.110000000000001,False
23,2013-04-24,11.39,False
24,2013-04-25,5.78,False
25,2013-04-26,4.42,False
26,2013-04-27,5.1000000000000005,False
27,2013-04-28,5.1000000000000005,False
28,2013-04-29,6.460000000000001,False
29,2013-04-30,12.920000000000002,False
0,2013-05-01,5.22,False
1,2013-05-02,7.38,False
2,2013-05-03,18.0,False
3,2013-05-04,5.76,False
4,2013-05-05,8.82,False
5,2013-05-06,4.859999999999999,False
6,2013-05-07,9.54,False
7,2013-05-08,7.38,False
8,2013-05-09,9.9,False
9,2013-05-10,7.739999999999999,False
10,2013-05-11,0.0,False
11,2013-05-12,5.76,False
12,2013-05-13,0.0,False
13,2013-05-14,14.219999999999999,False
14,2013-05-15,4.68,False
15,2013-05-16,4.859999999999999,False
16,2013-05-17,0.0,False
17,2013-05-18,11.7,False
18,2013-05-19,5.76,False
19,2013-05-20,9.54,False
20,2013-05-21,14.04,False
21,2013-05-22,14.219999999999999,False
22,2013-05-23,4.68,False
23,2013-05-24,7.56,False
24,2013-05-25,5.9399999999999995,False
25,2013-05-26,5.76,False
26,2013-05-27,0.0,False
27,2013-05-28,9.36,False
28,2013-05-29,9.36,False
29,2013-05-30,7.38,False
30,2013-05-31,0.0,False
0,2013-06-01,4.32,False
1,2013-06-02,8.64,False
2,2013-06-03,0.0,False
3,2013-06-04,16.2,False
4,2013-06-05,5.3999999999999995,False
5,2013-06-06,5.58,False
6,2013-06-07,11.52,False
7,2013-06-08,0.0,False
8,2013-06-09,0.0,False
9,2013-06-10,5.3999999999999995,False
10,2013-06-11,8.82,False
11,2013-06-12,7.199999999999999,False
12,2013-06-13,3.5999999999999996,False
13,2013-06-14,11.52,False
14,2013-06-15,4.5,False
15,2013-06-16,4.32,False
16,2013-06-17,3.5999999999999996,False
17,2013-06-18,10.799999999999999,False
18,2013-06-19,3.5999999999999996,False
19,2013-06-20,9.18,False
20,2013-06-21,7.739999999999999,False
21,2013-06-22,4.5,False
22,2013-06-23,4.5,False
23,2013-06-24,3.5999999999999996,False
24,2013-06-25,7.199999999999999,False
25,2013-06-26,5.3999999999999995,False
26,2013-06-27,7.38,False
27,2013-06-28,11.52,False
28,2013-06-29,18.0,False
29,2013-06-30,0.0,False
0,2013-07-01,3.74,False
1,2013-07-02,5.61,False
2,2013-07-03,3.74,False
3,2013-07-04,5.95,False
4,2013-07-05,4.08,False
5,2013-07-06,4.760000000000001,False
6,2013-07-07,4.760000000000001,False
7,2013-07-08,7.48,False
8,2013-07-09,5.61,False
9,2013-07-10,11.39,False
10,2013-07-11,11.39,False
11,2013-07-12,4.08,False
12,2013-07-13,4.760000000000001,False
13,2013-07-14,4.590000000000001,False
14,2013-07-15,5.61,False
15,2013-07-16,17.0,False
16,2013-07-17,3.91,False
17,2013-07-18,11.73,False
18,2013-07-19,7.99,False
19,2013-07-20,4.590000000000001,False
20,2013-07-21,0.0,False
21,2013-07-22,3.74,False
22,2013-07-23,5.61,False
23,2013-07-24,9.520000000000001,False
24,2013-07-25,3.91,False
25,2013-07-26,11.9,False
26,2013-07-27,6.970000000000001,False
27,2013-07-28,0.0,False
28,2013-07-29,3.74,False
29,2013-07-30,3.74,False
30,2013-07-31,7.65,False
0,2013-08-01,9.6,False
1,2013-08-02,3.36,False
2,2013-08-03,0.0,False
3,2013-08-04,3.84,False
4,2013-08-05,6.4,False
5,2013-08-06,6.24,False
6,2013-08-07,11.200000000000001,False
7,2013-08-08,8.16,False
8,2013-08-09,8.32,False
9,2013-08-10,5.76,False
10,2013-08-11,3.84,False
11,2013-08-12,0.0,False
12,2013-08-13,9.28,False
13,2013-08-14,6.24,False
14,2013-08-15,6.72,False
15,2013-08-16,3.36,False
16,2013-08-17,11.36,False
17,2013-08-18,3.68,False
18,2013-08-19,3.04,False
19,2013-08-20,4.64,False
