,date,ODP stock,isPartial
29,2014-04-30,0.0,False
0,2014-05-01,24.7,False
1,2014-05-02,0.0,False
2,2014-05-03,0.0,False
3,2014-05-04,0.0,False
4,2014-05-05,11.18,False
5,2014-05-06,26.0,False
6,2014-05-07,22.36,False
7,2014-05-08,15.08,False
8,2014-05-09,11.700000000000001,False
9,2014-05-10,0.0,False
10,2014-05-11,0.0,False
11,2014-05-12,16.38,False
12,2014-05-13,18.46,False
13,2014-05-14,22.36,False
14,2014-05-15,22.36,False
15,2014-05-16,23.14,False
16,2014-05-17,13.52,False
17,2014-05-18,13.52,False
18,2014-05-19,11.18,False
19,2014-05-20,16.64,False
20,2014-05-21,12.22,False
21,2014-05-22,0.0,False
22,2014-05-23,12.74,False
23,2014-05-24,15.08,False
24,2014-05-25,15.08,False
25,2014-05-26,12.48,False
26,2014-05-27,23.92,False
27,2014-05-28,0.0,False
28,2014-05-29,12.74,False
29,2014-05-30,19.5,False
30,2014-05-31,0.0,False
0,2014-06-01,7.22,False
1,2014-06-02,0.0,False
2,2014-06-03,0.0,False
3,2014-06-04,0.0,False
4,2014-06-05,5.89,False
5,2014-06-06,19.0,False
6,2014-06-07,7.41,False
7,2014-06-08,0.0,False
8,2014-06-09,6.08,False
9,2014-06-10,6.08,False
10,2014-06-11,5.89,False
11,2014-06-12,0.0,False
12,2014-06-13,0.0,False
13,2014-06-14,0.0,False
14,2014-06-15,7.22,False
15,2014-06-16,11.78,False
16,2014-06-17,5.89,False
17,2014-06-18,6.08,False
18,2014-06-19,6.2700000000000005,False
19,2014-06-20,6.2700000000000005,False
20,2014-06-21,0.0,False
