,date,AAPL stock,isPartial
26,2013-05-27,6.2700000000000005,False
27,2013-05-28,16.5,False
28,2013-05-29,17.490000000000002,False
29,2013-05-30,16.17,False
30,2013-05-31,17.82,False
0,2013-06-01,9.9,False
1,2013-06-02,2.4,False
2,2013-06-03,19.8,False
3,2013-06-04,16.8,False
4,2013-06-05,16.8,False
5,2013-06-06,15.0,False
6,2013-06-07,15.299999999999999,False
7,2013-06-08,8.7,False
8,2013-06-09,2.4,False
9,2013-06-10,30.0,False
10,2013-06-11,26.7,False
11,2013-06-12,17.099999999999998,False
12,2013-06-13,16.2,False
13,2013-06-14,16.8,False
14,2013-06-15,8.1,False
15,2013-06-16,3.5999999999999996,False
16,2013-06-17,16.8,False
17,2013-06-18,16.2,False
18,2013-06-19,14.7,False
19,2013-06-20,21.599999999999998,False
20,2013-06-21,16.2,False
21,2013-06-22,8.7,False
22,2013-06-23,5.3999999999999995,False
23,2013-06-24,16.2,False
24,2013-06-25,19.2,False
25,2013-06-26,16.8,False
26,2013-06-27,19.5,False
27,2013-06-28,19.5,False
28,2013-06-29,7.5,False
29,2013-06-30,6.8999999999999995,False
0,2013-07-01,9.92,False
1,2013-07-02,15.36,False
2,2013-07-03,8.96,False
3,2013-07-04,3.2,False
4,2013-07-05,15.68,False
5,2013-07-06,4.8,False
6,2013-07-07,3.52,False
7,2013-07-08,16.0,False
8,2013-07-09,13.120000000000001,False
9,2013-07-10,9.92,False
10,2013-07-11,20.48,False
11,2013-07-12,12.48,False
12,2013-07-13,3.84,False
13,2013-07-14,4.48,False
14,2013-07-15,13.76,False
15,2013-07-16,10.56,False
16,2013-07-17,12.48,False
17,2013-07-18,12.16,False
18,2013-07-19,13.76,False
19,2013-07-20,5.44,False
20,2013-07-21,3.52,False
21,2013-07-22,10.56,False
22,2013-07-23,19.2,False
23,2013-07-24,32.0,False
24,2013-07-25,17.6,False
25,2013-07-26,12.48,False
26,2013-07-27,8.32,False
27,2013-07-28,4.48,False
28,2013-07-29,12.48,False
29,2013-07-30,11.84,False
30,2013-07-31,16.64,False
0,2013-08-01,16.56,False
1,2013-08-02,15.479999999999999,False
2,2013-08-03,6.84,False
3,2013-08-04,6.12,False
4,2013-08-05,17.28,False
5,2013-08-06,17.64,False
6,2013-08-07,12.959999999999999,False
7,2013-08-08,15.12,False
8,2013-08-09,14.04,False
9,2013-08-10,3.2399999999999998,False
10,2013-08-11,4.32,False
11,2013-08-12,24.84,False
12,2013-08-13,24.48,False
13,2013-08-14,36.0,False
14,2013-08-15,31.32,False
15,2013-08-16,26.279999999999998,False
16,2013-08-17,6.84,False
17,2013-08-18,3.96,False
18,2013-08-19,21.599999999999998,False
19,2013-08-20,19.8,False
20,2013-08-21,18.0,False
21,2013-08-22,21.24,False
22,2013-08-23,20.16,False
23,2013-08-24,9.0,False
24,2013-08-25,2.52,False
25,2013-08-26,22.32,False
26,2013-08-27,17.64,False
27,2013-08-28,16.2,False
28,2013-08-29,14.76,False
29,2013-08-30,13.32,False
30,2013-08-31,5.04,False
0,2013-09-01,3.01,False
1,2013-09-02,4.7299999999999995,False
2,2013-09-03,18.49,False
3,2013-09-04,16.34,False
4,2013-09-05,12.9,False
5,2013-09-06,16.34,False
6,2013-09-07,6.45,False
7,2013-09-08,4.7299999999999995,False
8,2013-09-09,18.49,False
9,2013-09-10,37.41,False
10,2013-09-11,43.0,False
11,2013-09-12,29.669999999999998,False
12,2013-09-13,25.8,False
13,2013-09-14,11.18,False
14,2013-09-15,6.88,False
