,date,PEP stock,isPartial
24,2014-01-25,9.0,False
25,2014-01-26,0.0,False
26,2014-01-27,0.0,False
27,2014-01-28,7.5,False
28,2014-01-29,22.8,False
29,2014-01-30,15.6,False
30,2014-01-31,23.7,False
0,2014-02-01,11.5,False
1,2014-02-02,34.04,False
2,2014-02-03,13.34,False
3,2014-02-04,24.380000000000003,False
4,2014-02-05,19.78,False
5,2014-02-06,20.240000000000002,False
6,2014-02-07,26.220000000000002,False
7,2014-02-08,23.0,False
8,2014-02-09,22.540000000000003,False
9,2014-02-10,19.32,False
10,2014-02-11,16.1,False
11,2014-02-12,19.32,False
12,2014-02-13,46.0,False
13,2014-02-14,24.380000000000003,False
14,2014-02-15,11.5,False
15,2014-02-16,11.040000000000001,False
16,2014-02-17,19.78,False
17,2014-02-18,19.32,False
18,2014-02-19,36.34,False
19,2014-02-20,33.120000000000005,False
20,2014-02-21,37.72,False
21,2014-02-22,34.96,False
22,2014-02-23,11.5,False
23,2014-02-24,22.540000000000003,False
24,2014-02-25,28.98,False
25,2014-02-26,16.1,False
26,2014-02-27,13.34,False
27,2014-02-28,15.64,False
0,2014-03-01,29.24,False
1,2014-03-02,30.96,False
2,2014-03-03,26.66,False
3,2014-03-04,16.34,False
4,2014-03-05,21.5,False
5,2014-03-06,18.06,False
6,2014-03-07,26.23,False
7,2014-03-08,12.47,False
8,2014-03-09,12.47,False
9,2014-03-10,17.63,False
10,2014-03-11,28.38,False
11,2014-03-12,10.75,False
12,2014-03-13,43.0,False
13,2014-03-14,33.54,False
14,2014-03-15,12.47,False
15,2014-03-16,12.47,False
16,2014-03-17,21.5,False
17,2014-03-18,26.66,False
18,2014-03-19,21.07,False
19,2014-03-20,24.94,False
20,2014-03-21,27.95,False
21,2014-03-22,16.77,False
22,2014-03-23,12.04,False
23,2014-03-24,21.07,False
24,2014-03-25,20.64,False
25,2014-03-26,27.95,False
26,2014-03-27,32.25,False
27,2014-03-28,25.8,False
28,2014-03-29,12.47,False
29,2014-03-30,20.64,False
30,2014-03-31,10.75,False
0,2014-04-01,19.11,False
1,2014-04-02,9.75,False
2,2014-04-03,14.43,False
3,2014-04-04,10.14,False
4,2014-04-05,23.400000000000002,False
5,2014-04-06,0.0,False
6,2014-04-07,38.22,False
7,2014-04-08,9.75,False
8,2014-04-09,9.75,False
9,2014-04-10,14.82,False
10,2014-04-11,20.67,False
11,2014-04-12,12.09,False
12,2014-04-13,23.01,False
13,2014-04-14,9.75,False
14,2014-04-15,19.5,False
15,2014-04-16,19.89,False
16,2014-04-17,15.600000000000001,False
17,2014-04-18,33.93,False
18,2014-04-19,12.09,False
19,2014-04-20,0.0,False
20,2014-04-21,21.060000000000002,False
21,2014-04-22,33.93,False
22,2014-04-23,14.43,False
23,2014-04-24,14.82,False
24,2014-04-25,10.530000000000001,False
25,2014-04-26,11.700000000000001,False
26,2014-04-27,0.0,False
27,2014-04-28,39.0,False
28,2014-04-29,28.470000000000002,False
29,2014-04-30,19.89,False
0,2014-05-01,35.88,False
1,2014-05-02,21.060000000000002,False
2,2014-05-03,11.700000000000001,False
3,2014-05-04,11.31,False
4,2014-05-05,16.38,False
5,2014-05-06,16.38,False
6,2014-05-07,15.99,False
7,2014-05-08,14.82,False
8,2014-05-09,30.810000000000002,False
9,2014-05-10,11.700000000000001,False
10,2014-05-11,11.31,False
11,2014-05-12,33.15,False
12,2014-05-13,25.740000000000002,False
13,2014-05-14,39.0,False
14,2014-05-15,13.26,False
15,2014-05-16,13.65,False
16,2014-05-17,12.09,False
17,2014-05-18,23.400000000000002,False
18,2014-05-19,0.0,False
19,2014-05-20,14.82,False
20,2014-05-21,17.55,False
21,2014-05-22,16.38,False
