,date,FB stock,isPartial
10,2014-02-11,10.260000000000002,False
11,2014-02-12,11.88,False
12,2014-02-13,10.260000000000002,False
13,2014-02-14,12.420000000000002,False
14,2014-02-15,2.97,False
15,2014-02-16,4.59,False
16,2014-02-17,4.59,False
17,2014-02-18,7.290000000000001,False
18,2014-02-19,14.040000000000001,False
19,2014-02-20,27.0,False
20,2014-02-21,13.5,False
21,2014-02-22,5.67,False
22,2014-02-23,3.7800000000000002,False
23,2014-02-24,15.120000000000001,False
24,2014-02-25,14.850000000000001,False
25,2014-02-26,11.07,False
26,2014-02-27,11.07,False
27,2014-02-28,12.96,False
0,2014-03-01,5.46,False
1,2014-03-02,3.57,False
2,2014-03-03,12.389999999999999,False
3,2014-03-04,16.38,False
4,2014-03-05,15.75,False
5,2014-03-06,14.7,False
6,2014-03-07,15.33,False
7,2014-03-08,4.2,False
8,2014-03-09,3.15,False
9,2014-03-10,15.75,False
10,2014-03-11,16.59,False
11,2014-03-12,15.959999999999999,False
12,2014-03-13,14.49,False
13,2014-03-14,14.7,False
14,2014-03-15,4.83,False
15,2014-03-16,2.73,False
16,2014-03-17,10.709999999999999,False
17,2014-03-18,11.76,False
18,2014-03-19,11.969999999999999,False
19,2014-03-20,12.389999999999999,False
20,2014-03-21,12.389999999999999,False
21,2014-03-22,1.89,False
22,2014-03-23,2.1,False
23,2014-03-24,14.7,False
24,2014-03-25,14.7,False
25,2014-03-26,20.16,False
26,2014-03-27,21.0,False
27,2014-03-28,14.49,False
28,2014-03-29,5.46,False
29,2014-03-30,3.9899999999999998,False
30,2014-03-31,12.389999999999999,False
0,2014-04-01,9.5,False
1,2014-04-02,10.75,False
2,2014-04-03,11.25,False
3,2014-04-04,9.25,False
4,2014-04-05,5.75,False
5,2014-04-06,4.0,False
6,2014-04-07,8.75,False
7,2014-04-08,11.25,False
8,2014-04-09,10.75,False
9,2014-04-10,11.25,False
10,2014-04-11,11.5,False
11,2014-04-12,2.5,False
12,2014-04-13,2.5,False
13,2014-04-14,9.25,False
14,2014-04-15,11.75,False
15,2014-04-16,9.5,False
16,2014-04-17,11.25,False
17,2014-04-18,5.5,False
18,2014-04-19,1.5,False
19,2014-04-20,1.75,False
20,2014-04-21,8.25,False
21,2014-04-22,14.75,False
22,2014-04-23,19.0,False
23,2014-04-24,25.0,False
24,2014-04-25,16.25,False
25,2014-04-26,4.25,False
26,2014-04-27,3.75,False
27,2014-04-28,11.5,False
28,2014-04-29,9.75,False
29,2014-04-30,11.25,False
0,2014-05-01,21.0,False
1,2014-05-02,16.169999999999998,False
2,2014-05-03,5.46,False
3,2014-05-04,2.73,False
4,2014-05-05,11.76,False
5,2014-05-06,13.65,False
6,2014-05-07,14.7,False
7,2014-05-08,13.86,False
8,2014-05-09,13.65,False
9,2014-05-10,5.25,False
10,2014-05-11,3.36,False
11,2014-05-12,12.809999999999999,False
12,2014-05-13,15.54,False
13,2014-05-14,11.969999999999999,False
14,2014-05-15,11.129999999999999,False
15,2014-05-16,11.969999999999999,False
16,2014-05-17,4.41,False
17,2014-05-18,3.78,False
18,2014-05-19,11.549999999999999,False
19,2014-05-20,14.7,False
20,2014-05-21,11.969999999999999,False
21,2014-05-22,11.129999999999999,False
22,2014-05-23,13.86,False
23,2014-05-24,4.41,False
24,2014-05-25,2.31,False
25,2014-05-26,3.57,False
