,date,PFE stock,isPartial
14,2013-03-15,7.13,False
15,2013-03-16,0.0,False
16,2013-03-17,0.0,False
17,2013-03-18,9.43,False
18,2013-03-19,6.67,False
19,2013-03-20,2.7600000000000002,False
20,2013-03-21,8.280000000000001,False
21,2013-03-22,4.140000000000001,False
22,2013-03-23,4.83,False
23,2013-03-24,0.0,False
24,2013-03-25,4.140000000000001,False
25,2013-03-26,4.140000000000001,False
26,2013-03-27,14.030000000000001,False
27,2013-03-28,7.36,False
28,2013-03-29,4.6000000000000005,False
29,2013-03-30,0.0,False
30,2013-03-31,3.45,False
0,2013-04-01,19.2,False
1,2013-04-02,11.4,False
2,2013-04-03,22.5,False
3,2013-04-04,18.599999999999998,False
4,2013-04-05,11.7,False
5,2013-04-06,5.3999999999999995,False
6,2013-04-07,0.0,False
7,2013-04-08,11.1,False
8,2013-04-09,11.1,False
9,2013-04-10,22.8,False
10,2013-04-11,15.899999999999999,False
11,2013-04-12,19.2,False
12,2013-04-13,5.3999999999999995,False
13,2013-04-14,11.1,False
14,2013-04-15,18.0,False
15,2013-04-16,20.4,False
16,2013-04-17,18.3,False
17,2013-04-18,23.099999999999998,False
18,2013-04-19,7.199999999999999,False
19,2013-04-20,5.3999999999999995,False
20,2013-04-21,5.3999999999999995,False
21,2013-04-22,11.4,False
22,2013-04-23,18.3,False
23,2013-04-24,15.899999999999999,False
24,2013-04-25,16.5,False
25,2013-04-26,21.3,False
26,2013-04-27,5.3999999999999995,False
27,2013-04-28,5.3999999999999995,False
28,2013-04-29,6.8999999999999995,False
29,2013-04-30,30.0,False
0,2013-05-01,15.81,False
1,2013-05-02,14.879999999999999,False
2,2013-05-03,31.0,False
3,2013-05-04,5.89,False
4,2013-05-05,0.0,False
5,2013-05-06,4.96,False
6,2013-05-07,19.53,False
7,2013-05-08,9.92,False
8,2013-05-09,0.0,False
9,2013-05-10,10.23,False
10,2013-05-11,5.89,False
11,2013-05-12,0.0,False
12,2013-05-13,9.61,False
13,2013-05-14,14.26,False
14,2013-05-15,18.91,False
15,2013-05-16,24.49,False
16,2013-05-17,20.15,False
17,2013-05-18,11.78,False
18,2013-05-19,17.36,False
19,2013-05-20,14.57,False
20,2013-05-21,4.65,False
21,2013-05-22,28.52,False
22,2013-05-23,9.61,False
23,2013-05-24,20.46,False
24,2013-05-25,0.0,False
25,2013-05-26,0.0,False
26,2013-05-27,0.0,False
27,2013-05-28,23.56,False
28,2013-05-29,4.65,False
29,2013-05-30,19.53,False
30,2013-05-31,20.15,False
0,2013-06-01,4.050000000000001,False
1,2013-06-02,4.050000000000001,False
2,2013-06-03,27.0,False
3,2013-06-04,18.630000000000003,False
4,2013-06-05,5.130000000000001,False
5,2013-06-06,17.28,False
6,2013-06-07,5.4,False
7,2013-06-08,4.050000000000001,False
8,2013-06-09,4.050000000000001,False
9,2013-06-10,9.99,False
10,2013-06-11,8.370000000000001,False
11,2013-06-12,11.88,False
12,2013-06-13,8.64,False
13,2013-06-14,7.290000000000001,False
14,2013-06-15,6.210000000000001,False
15,2013-06-16,4.050000000000001,False
16,2013-06-17,6.75,False
17,2013-06-18,6.75,False
18,2013-06-19,8.64,False
19,2013-06-20,10.260000000000002,False
20,2013-06-21,18.09,False
21,2013-06-22,4.32,False
22,2013-06-23,0.0,False
23,2013-06-24,13.5,False
24,2013-06-25,10.260000000000002,False
25,2013-06-26,5.130000000000001,False
26,2013-06-27,13.770000000000001,False
27,2013-06-28,14.580000000000002,False
28,2013-06-29,12.690000000000001,False
29,2013-06-30,4.32,False
0,2013-07-01,3.3600000000000003,False
1,2013-07-02,14.000000000000002,False
2,2013-07-03,7.280000000000001,False
3,2013-07-04,0.0,False
4,2013-07-05,19.32,False
5,2013-07-06,4.48,False
6,2013-07-07,0.0,False
7,2013-07-08,0.0,False
8,2013-07-09,7.280000000000001,False
9,2013-07-10,14.560000000000002,False
10,2013-07-11,7.280000000000001,False
11,2013-07-12,11.48,False
12,2013-07-13,0.0,False
13,2013-07-14,0.0,False
14,2013-07-15,3.6400000000000006,False
15,2013-07-16,0.0,False
16,2013-07-17,3.6400000000000006,False
17,2013-07-18,10.920000000000002,False
18,2013-07-19,15.120000000000001,False
19,2013-07-20,0.0,False
20,2013-07-21,0.0,False
21,2013-07-22,3.6400000000000006,False
22,2013-07-23,17.64,False
23,2013-07-24,17.92,False
24,2013-07-25,3.6400000000000006,False
25,2013-07-26,11.200000000000001,False
26,2013-07-27,0.0,False
27,2013-07-28,4.48,False
28,2013-07-29,21.000000000000004,False
29,2013-07-30,28.000000000000004,False
30,2013-07-31,14.280000000000001,False
0,2013-08-01,13.02,False
1,2013-08-02,16.169999999999998,False
2,2013-08-03,0.0,False
3,2013-08-04,6.3,False
4,2013-08-05,10.29,False
5,2013-08-06,5.25,False
6,2013-08-07,7.77,False
7,2013-08-08,5.25,False
8,2013-08-09,10.92,False
9,2013-08-10,0.0,False
10,2013-08-11,0.0,False
11,2013-08-12,7.77,False
12,2013-08-13,10.29,False
13,2013-08-14,5.25,False
14,2013-08-15,8.19,False
15,2013-08-16,5.46,False
16,2013-08-17,0.0,False
17,2013-08-18,0.0,False
18,2013-08-19,5.04,False
19,2013-08-20,5.04,False
20,2013-08-21,0.0,False
