,date,INTC stock,isPartial
11,2012-12-12,2.6,False
12,2012-12-13,0.0,False
13,2012-12-14,1.3,False
14,2012-12-15,1.5,False
15,2012-12-16,0.0,False
16,2012-12-17,3.9000000000000004,False
17,2012-12-18,5.2,False
18,2012-12-19,2.6,False
19,2012-12-20,8.0,False
20,2012-12-21,10.0,False
21,2012-12-22,4.800000000000001,False
22,2012-12-23,1.7000000000000002,False
23,2012-12-24,1.6,False
24,2012-12-25,1.7000000000000002,False
25,2012-12-26,4.4,False
26,2012-12-27,4.1000000000000005,False
27,2012-12-28,4.3,False
28,2012-12-29,0.0,False
29,2012-12-30,1.6,False
30,2012-12-31,4.800000000000001,False
0,2013-01-01,2.72,False
1,2013-01-02,13.260000000000002,False
2,2013-01-03,4.25,False
3,2013-01-04,4.42,False
4,2013-01-05,2.3800000000000003,False
5,2013-01-06,2.3800000000000003,False
6,2013-01-07,2.04,False
7,2013-01-08,6.29,False
8,2013-01-09,4.08,False
9,2013-01-10,6.29,False
10,2013-01-11,2.21,False
11,2013-01-12,0.0,False
12,2013-01-13,2.3800000000000003,False
13,2013-01-14,12.24,False
14,2013-01-15,5.95,False
15,2013-01-16,2.04,False
16,2013-01-17,8.16,False
17,2013-01-18,17.0,False
18,2013-01-19,9.520000000000001,False
19,2013-01-20,0.0,False
20,2013-01-21,3.91,False
21,2013-01-22,3.91,False
22,2013-01-23,10.200000000000001,False
23,2013-01-24,8.16,False
24,2013-01-25,10.540000000000001,False
25,2013-01-26,2.3800000000000003,False
26,2013-01-27,2.3800000000000003,False
27,2013-01-28,7.99,False
28,2013-01-29,13.940000000000001,False
29,2013-01-30,4.08,False
30,2013-01-31,8.16,False
0,2013-02-01,12.0,False
1,2013-02-02,5.3999999999999995,False
2,2013-02-03,0.0,False
3,2013-02-04,6.72,False
4,2013-02-05,11.16,False
5,2013-02-06,6.84,False
6,2013-02-07,11.639999999999999,False
7,2013-02-08,7.08,False
8,2013-02-09,0.0,False
9,2013-02-10,0.0,False
10,2013-02-11,4.56,False
11,2013-02-12,4.68,False
12,2013-02-13,9.12,False
