,date,AMZN stock,isPartial
7,2013-07-08,0.8,False
8,2013-07-09,1.24,False
9,2013-07-10,1.6400000000000001,False
10,2013-07-11,2.08,False
11,2013-07-12,2.88,False
12,2013-07-13,2.04,False
13,2013-07-14,0.68,False
14,2013-07-15,1.08,False
15,2013-07-16,0.96,False
16,2013-07-17,1.4000000000000001,False
17,2013-07-18,1.52,False
18,2013-07-19,1.16,False
19,2013-07-20,0.68,False
20,2013-07-21,0.68,False
21,2013-07-22,0.8,False
22,2013-07-23,0.68,False
23,2013-07-24,0.96,False
24,2013-07-25,2.36,False
25,2013-07-26,4.0,False
26,2013-07-27,1.52,False
27,2013-07-28,0.68,False
28,2013-07-29,1.6,False
29,2013-07-30,1.72,False
30,2013-07-31,2.6,False
0,2013-08-01,1.68,False
1,2013-08-02,0.87,False
2,2013-08-03,1.53,False
3,2013-08-04,0.0,False
4,2013-08-05,2.46,False
5,2013-08-06,2.4899999999999998,False
6,2013-08-07,2.52,False
7,2013-08-08,3.0,False
8,2013-08-09,1.3199999999999998,False
9,2013-08-10,1.02,False
10,2013-08-11,0.0,False
11,2013-08-12,2.07,False
12,2013-08-13,2.4899999999999998,False
13,2013-08-14,0.84,False
14,2013-08-15,2.19,False
15,2013-08-16,2.19,False
16,2013-08-17,1.53,False
17,2013-08-18,0.51,False
18,2013-08-19,1.65,False
19,2013-08-20,1.2,False
20,2013-08-21,2.85,False
21,2013-08-22,2.4899999999999998,False
22,2013-08-23,1.29,False
23,2013-08-24,1.95,False
24,2013-08-25,0.48,False
25,2013-08-26,0.8099999999999999,False
26,2013-08-27,2.37,False
27,2013-08-28,1.98,False
28,2013-08-29,1.2,False
29,2013-08-30,0.42,False
30,2013-08-31,0.96,False
0,2013-09-01,0.0,False
1,2013-09-02,0.99,False
2,2013-09-03,2.28,False
3,2013-09-04,0.57,False
4,2013-09-05,1.56,False
5,2013-09-06,1.6199999999999999,False
6,2013-09-07,0.0,False
7,2013-09-08,0.0,False
8,2013-09-09,1.53,False
9,2013-09-10,1.5,False
10,2013-09-11,1.71,False
11,2013-09-12,2.28,False
12,2013-09-13,0.0,False
13,2013-09-14,0.69,False
14,2013-09-15,0.8999999999999999,False
15,2013-09-16,0.75,False
16,2013-09-17,1.3199999999999998,False
17,2013-09-18,2.28,False
18,2013-09-19,1.92,False
19,2013-09-20,1.7999999999999998,False
20,2013-09-21,0.44999999999999996,False
21,2013-09-22,1.1099999999999999,False
22,2013-09-23,0.96,False
23,2013-09-24,1.1099999999999999,False
24,2013-09-25,2.67,False
25,2013-09-26,1.3499999999999999,False
26,2013-09-27,1.2,False
27,2013-09-28,0.69,False
28,2013-09-29,0.44999999999999996,False
29,2013-09-30,3.0,False
0,2013-10-01,0.8,False
1,2013-10-02,0.8500000000000001,False
2,2013-10-03,1.05,False
3,2013-10-04,1.1,False
4,2013-10-05,0.5,False
5,2013-10-06,0.0,False
6,2013-10-07,0.4,False
7,2013-10-08,0.8,False
8,2013-10-09,1.25,False
9,2013-10-10,1.05,False
10,2013-10-11,0.65,False
11,2013-10-12,0.0,False
12,2013-10-13,0.0,False
13,2013-10-14,0.8500000000000001,False
14,2013-10-15,1.4500000000000002,False
15,2013-10-16,1.4500000000000002,False
16,2013-10-17,0.65,False
17,2013-10-18,1.1,False
18,2013-10-19,1.25,False
19,2013-10-20,0.25,False
20,2013-10-21,1.2000000000000002,False
21,2013-10-22,1.6,False
22,2013-10-23,2.0500000000000003,False
23,2013-10-24,5.0,False
24,2013-10-25,3.6500000000000004,False
25,2013-10-26,2.2,False
26,2013-10-27,1.2000000000000002,False
27,2013-10-28,1.2000000000000002,False
28,2013-10-29,1.0,False
29,2013-10-30,0.8,False
30,2013-10-31,1.5,False
0,2013-11-01,2.95,False
1,2013-11-02,1.25,False
2,2013-11-03,0.4,False
3,2013-11-04,2.0,False
4,2013-11-05,2.35,False
5,2013-11-06,3.0500000000000003,False
6,2013-11-07,1.35,False
7,2013-11-08,3.2,False
8,2013-11-09,0.4,False
9,2013-11-10,0.4,False
10,2013-11-11,1.7000000000000002,False
11,2013-11-12,1.7000000000000002,False
12,2013-11-13,2.7,False
13,2013-11-14,2.0500000000000003,False
14,2013-11-15,2.85,False
15,2013-11-16,1.2000000000000002,False
16,2013-11-17,2.0,False
17,2013-11-18,1.35,False
18,2013-11-19,3.6500000000000004,False
19,2013-11-20,5.0,False
20,2013-11-21,3.4000000000000004,False
21,2013-11-22,2.75,False
22,2013-11-23,1.2000000000000002,False
23,2013-11-24,0.4,False
24,2013-11-25,1.9500000000000002,False
25,2013-11-26,2.0,False
26,2013-11-27,2.35,False
27,2013-11-28,1.8,False
28,2013-11-29,2.5500000000000003,False
29,2013-11-30,2.0,False
0,2013-12-01,1.3199999999999998,False
1,2013-12-02,6.0,False
2,2013-12-03,3.3,False
3,2013-12-04,4.02,False
4,2013-12-05,2.34,False
5,2013-12-06,1.92,False
6,2013-12-07,0.6,False
7,2013-12-08,0.96,False
8,2013-12-09,2.82,False
9,2013-12-10,2.16,False
10,2013-12-11,2.88,False
11,2013-12-12,2.2199999999999998,False
12,2013-12-13,1.98,False
13,2013-12-14,1.6199999999999999,False
14,2013-12-15,0.78,False
15,2013-12-16,2.2199999999999998,False
16,2013-12-17,3.78,False
17,2013-12-18,3.3,False
18,2013-12-19,3.1799999999999997,False
19,2013-12-20,2.46,False
20,2013-12-21,2.94,False
21,2013-12-22,1.5,False
22,2013-12-23,3.78,False
23,2013-12-24,4.14,False
24,2013-12-25,2.04,False
25,2013-12-26,2.52,False
26,2013-12-27,3.96,False
27,2013-12-28,0.84,False
28,2013-12-29,1.02,False
29,2013-12-30,3.6599999999999997,False
30,2013-12-31,3.48,False
0,2014-01-01,0.3,False
1,2014-01-02,0.72,False
2,2014-01-03,0.72,False
3,2014-01-04,0.42,False
4,2014-01-05,0.36,False
5,2014-01-06,0.84,False
6,2014-01-07,0.54,False
7,2014-01-08,0.6599999999999999,False
8,2014-01-09,1.26,False
9,2014-01-10,0.48,False
10,2014-01-11,0.54,False
11,2014-01-12,0.54,False
12,2014-01-13,0.96,False
13,2014-01-14,0.6,False
14,2014-01-15,0.8999999999999999,False
15,2014-01-16,0.54,False
16,2014-01-17,1.14,False
17,2014-01-18,0.54,False
18,2014-01-19,0.24,False
19,2014-01-20,0.3,False
20,2014-01-21,0.6,False
21,2014-01-22,1.02,False
22,2014-01-23,1.26,False
23,2014-01-24,0.96,False
24,2014-01-25,0.54,False
25,2014-01-26,0.12,False
26,2014-01-27,0.8999999999999999,False
27,2014-01-28,1.38,False
28,2014-01-29,0.84,False
29,2014-01-30,3.1799999999999997,False
30,2014-01-31,6.0,False
0,2014-02-01,5.2,False
1,2014-02-02,2.88,False
2,2014-02-03,8.0,False
3,2014-02-04,4.64,False
4,2014-02-05,2.24,False
5,2014-02-06,1.52,False
6,2014-02-07,4.32,False
7,2014-02-08,0.96,False
8,2014-02-09,0.64,False
9,2014-02-10,4.4,False
10,2014-02-11,3.84,False
11,2014-02-12,3.84,False
12,2014-02-13,4.16,False
13,2014-02-14,3.12,False
14,2014-02-15,0.32,False
15,2014-02-16,0.64,False
16,2014-02-17,0.8,False
17,2014-02-18,2.48,False
18,2014-02-19,3.84,False
19,2014-02-20,4.0,False
20,2014-02-21,2.32,False
21,2014-02-22,1.28,False
