,date,HD stock,isPartial
2,2013-09-03,24.419999999999998,False
3,2013-09-04,28.86,False
4,2013-09-05,18.87,False
5,2013-09-06,31.82,False
6,2013-09-07,13.69,False
7,2013-09-08,23.68,False
8,2013-09-09,27.009999999999998,False
9,2013-09-10,16.65,False
10,2013-09-11,37.0,False
11,2013-09-12,35.519999999999996,False
12,2013-09-13,17.759999999999998,False
13,2013-09-14,20.35,False
14,2013-09-15,21.46,False
15,2013-09-16,32.56,False
16,2013-09-17,22.57,False
17,2013-09-18,24.05,False
18,2013-09-19,28.86,False
19,2013-09-20,13.69,False
20,2013-09-21,21.83,False
21,2013-09-22,11.47,False
22,2013-09-23,27.009999999999998,False
23,2013-09-24,23.68,False
24,2013-09-25,18.5,False
25,2013-09-26,31.82,False
26,2013-09-27,19.61,False
27,2013-09-28,20.35,False
28,2013-09-29,31.45,False
29,2013-09-30,26.64,False
0,2013-10-01,14.35,False
1,2013-10-02,23.45,False
2,2013-10-03,19.95,False
3,2013-10-04,23.099999999999998,False
4,2013-10-05,11.549999999999999,False
5,2013-10-06,22.75,False
6,2013-10-07,14.7,False
7,2013-10-08,35.0,False
8,2013-10-09,14.7,False
9,2013-10-10,32.55,False
10,2013-10-11,22.049999999999997,False
11,2013-10-12,9.1,False
12,2013-10-13,22.049999999999997,False
13,2013-10-14,23.799999999999997,False
14,2013-10-15,21.0,False
15,2013-10-16,22.049999999999997,False
16,2013-10-17,13.649999999999999,False
17,2013-10-18,22.049999999999997,False
18,2013-10-19,11.549999999999999,False
19,2013-10-20,25.549999999999997,False
20,2013-10-21,18.2,False
21,2013-10-22,25.2,False
22,2013-10-23,30.099999999999998,False
23,2013-10-24,22.049999999999997,False
24,2013-10-25,21.7,False
25,2013-10-26,23.45,False
26,2013-10-27,8.399999999999999,False
27,2013-10-28,24.849999999999998,False
28,2013-10-29,20.299999999999997,False
29,2013-10-30,18.2,False
30,2013-10-31,17.5,False
0,2013-11-01,19.27,False
1,2013-11-02,15.579999999999998,False
2,2013-11-03,12.709999999999999,False
3,2013-11-04,21.73,False
4,2013-11-05,15.17,False
5,2013-11-06,21.73,False
6,2013-11-07,9.02,False
7,2013-11-08,13.53,False
8,2013-11-09,13.12,False
9,2013-11-10,20.09,False
10,2013-11-11,17.22,False
11,2013-11-12,19.27,False
12,2013-11-13,25.83,False
13,2013-11-14,26.65,False
14,2013-11-15,9.02,False
15,2013-11-16,7.789999999999999,False
16,2013-11-17,22.959999999999997,False
17,2013-11-18,23.779999999999998,False
18,2013-11-19,41.0,False
19,2013-11-20,30.749999999999996,False
20,2013-11-21,17.63,False
21,2013-11-22,22.549999999999997,False
22,2013-11-23,20.5,False
23,2013-11-24,22.549999999999997,False
24,2013-11-25,23.369999999999997,False
25,2013-11-26,41.0,False
26,2013-11-27,17.22,False
27,2013-11-28,16.4,False
28,2013-11-29,25.419999999999998,False
29,2013-11-30,15.579999999999998,False
0,2013-12-01,20.5,False
